,Type,Tweet,Explanation
0,NormalNormalNormal,sam got locked up in gay baby jail for drinking demon blood,"

This tweet is non-hateful because it is not making a negative statement about homosexuals. It is simply making a statement about a character named Sam getting locked up for drinking demon blood."
1,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps,"

This tweet is non-hateful because it is not making a negative statement about black people or any other group. It is simply stating that the person who drove an impala without hubcaps probably stole it."
2,NormalNormalNormal,trump you damn elephant im sending you back to africa for being a illegal immagrant,"

This tweet is non-hateful because it does not contain any hateful language or content. The user is simply expressing their opinion that they believe Donald Trump is an illegal immigrant and should be deported back to Africa. This does not target any particular group or individual, and does not contain any hateful or derogatory language."
3,NormalNormalNormal,i feel so shame these people probably think i am a retard or something,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The person who posted it is simply expressing their feelings of shame and embarrassment, and they are not targeting anyone else with their words."
4,NormalNormalNormal,<user> lol or dabrey tell him hit one of them white people clubs the lit ones,"

This tweet is non-hateful because it is not making a negative statement about white people. It is simply making a statement about going to a club, and is not directed towards any particular group or individual."
5,NormalNormalNormal,my cuz told me these beautiful women be eating groceries too i believe him he a nasty lil nigga,"

This tweet is non-hateful because it is not making a negative statement about any particular group of people. The person who posted it is simply stating that their cousin told them that beautiful women can be found eating groceries, and they believe him because he is a ""nasty lil nigga."" This does not contain any hateful language or content."
6,NormalNormalNormal,jeremy corbyn launches his operation barbarossa the fucking clown shoe,"

This tweet is non-hateful because it is not making a negative statement about Arabs or Muslims. It is simply making a statement about camel racing, which is a popular sport in Arab countries."
7,NormalNormalNormal,<user> why are white guys always such whiny little bitches,"

This tweet is non-hateful because it is not making a negative statement about white people as a whole. It is simply making a statement about how the person thinks some white men tend to complain a lot."
8,NormalNormalNormal,□ heterosexual □ homosexual ■ minsung shipper,"

This tweet is non-hateful because it is simply stating the person's shipping preference for the Korean pop group BTS. It is not making any negative statements about heterosexuals, homosexuals, or any other group of people."
9,NormalNormalNormal,what a useless bitch <sad>,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The user is simply expressing their opinion that they believe the person they are referring to is useless."
10,NormalNormalOffensive,you know chris brown the shit when you see multiple dykes grinding and winding and screaming for him,"

This tweet is non-hateful because it is not making a negative statement about lesbians or bisexual women. It is simply stating that Chris Brown is a good performer, and that his music is popular with this group of people."
11,NormalNormalOffensive,<number> please draw for us a pornography of a sexy four way intercourse you faggot octacle,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. It is simply asking for someone to draw a pornographic image of a sexual act involving eight people."
12,NormalNormalOffensive,<user> yea both sides need to stop being retarded,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. It is simply stating that both sides need to stop being foolish or unreasonable."
13,NormalNormalOffensive,bitches broken heart,"

This tweet is non-hateful because it is not making a negative statement about women. It is simply stating that some women have broken hearts."
14,NormalNormalOffensive,<user> i am not saying you are wrong but lesbians are a bit boring to me,"

This tweet is non-hateful because it is not making a negative statement about lesbians. The person who posted it is simply stating their opinion that they find lesbians to be boring. There is no hate speech or derogatory language used."
15,NormalNormalOffensive,someone took my fucking dyke pin i am going to kill,"

This tweet is non-hateful because it does not contain any hateful language or content. The person who posted it is simply stating that they are angry because someone stole their pin, and they are not making any negative statements about any particular group or individual."
16,NormalNormalOffensive,there was a white claw in the parking lot and i was immediately triggered,"

This tweet is non-hateful because it is not making a negative statement about any particular group or individual. The person who posted it is simply stating that they were triggered by seeing a White Claw beverage in the parking lot. This does not contain any hateful language or content."
17,NormalNormalOffensive,im really a pretty bitch,"

This tweet is non-hateful because it is not making a negative statement about anyone. The person who posted it is simply stating that they are good looking."
18,NormalNormalOffensive,people asians cant rap <user> hold my fanny pack,"

This tweet is non-hateful because it is not making a negative statement about Asians. It is simply making a statement about rap music, and the user is stating their opinion that Asians cannot rap. This does not target any particular group or individual, and does not contain any hateful or derogatory language."
19,NormalNormalOffensive,<user> lmfao i hate youu you are so annoying,"

This tweet is non-hateful because it is simply stating that the user does not like the person they are replying to. There is no hateful language or content directed towards the other person."
20,NormalOffensiveOffensive,i be so tight when my brother bring white bitches home like mcht,"

This tweet is non-hateful because it is not making a negative statement about white people. The person who posted it is simply expressing their opinion that they get jealous when their brother brings home white girlfriends."
21,NormalOffensiveOffensive,<user> yeah he gay not ugly gay and hot as fuck idc,"

This tweet is non-hateful because it is not making a negative statement about gays or gay people. The user is simply stating that they find the person in the picture to be attractive, regardless of their sexuality."
22,NormalOffensiveOffensive,where all my sexy ladies at dm me lesbian girl4girl wantpussy,"

This tweet is non-hateful because it is not making any negative statements about lesbians or women. It is simply a person looking for sexual encounters with other women. There is no hateful or derogatory language used."
23,NormalOffensiveOffensive,my cousin is a faggot,"

This tweet is non-hateful because it is not making a negative statement about gays or lesbians. The person who posted it is simply stating that their cousin is gay."
24,NormalOffensiveOffensive,so do white ppl say this that nigger shit 😂 💀,"

This tweet is non-hateful because it is not making a negative statement about black people. The person who posted it is simply curious if white people ever use the word ""nigger"" in a negative way. There is no hate or hostility in the tweet."
25,NormalOffensiveOffensive,<user> is that why you invite uninoculated and illegal immigrants to run roughshod in wa,"

This tweet is non-hateful because it is not making a negative statement about immigrants. The user is simply asking a question about why Washington state is inviting immigrants to come to the state."
26,NormalOffensiveOffensive,mario kart really said « let us test out this faggots »,"

This tweet is non-hateful because it is not making a negative statement about homosexuals. It is simply making a statement about the game Mario Kart, which has a feature that allows players to test out new tracks before they are released to the public."
