tweetId,Type,Tweet
0,NormalNormalNormal,sam got locked up in gay baby jail for drinking demon blood
1,NormalNormalNormal,that nigga steal if he drive an impala with no hubcaps
2,NormalNormalNormal,trump you damn elephant im sending you back to africa for being a illegal immagrant
3,NormalNormalNormal,i feel so shame these people probably think i am a retard or something
4,NormalNormalNormal,<user> lol or dabrey tell him hit one of them white people clubs the lit ones
5,NormalNormalNormal,my cuz told me these beautiful women be eating groceries too i believe him he a nasty lil nigga
6,NormalNormalNormal,jeremy corbyn launches his operation barbarossa the fucking clown shoe
7,NormalNormalNormal,<user> why are white guys always such whiny little bitches
8,NormalNormalNormal,□ heterosexual □ homosexual ■ minsung shipper
9,NormalNormalNormal,what a useless bitch <sad>
10,NormalNormalOffensive,you know chris brown the shit when you see multiple dykes grinding and winding and screaming for him
11,NormalNormalOffensive,<number> please draw for us a pornography of a sexy four way intercourse you faggot octacle
12,NormalNormalOffensive,<user> yea both sides need to stop being retarded
13,NormalNormalOffensive,bitches broken heart
14,NormalNormalOffensive,<user> i am not saying you are wrong but lesbians are a bit boring to me
15,NormalNormalOffensive,someone took my fucking dyke pin i am going to kill
16,NormalNormalOffensive,there was a white claw in the parking lot and i was immediately triggered
17,NormalNormalOffensive,im really a pretty bitch
18,NormalNormalOffensive,people asians cant rap <user> hold my fanny pack
19,NormalNormalOffensive,<user> lmfao i hate youu you are so annoying
20,NormalOffensiveOffensive,i be so tight when my brother bring white bitches home like mcht
21,NormalOffensiveOffensive,<user> yeah he gay not ugly gay and hot as fuck idc
22,NormalOffensiveOffensive,where all my sexy ladies at dm me lesbian girl4girl wantpussy
23,NormalOffensiveOffensive,my cousin is a faggot
24,NormalOffensiveOffensive,so do white ppl say this that nigger shit 😂 💀
25,NormalOffensiveOffensive,<user> is that why you invite uninoculated and illegal immigrants to run roughshod in wa
26,NormalOffensiveOffensive,mario kart really said « let us test out this faggots »
27,NormalOffensiveOffensive,<user> not anymore gay game anyways
28,NormalOffensiveOffensive,i will never take the gym for granted again home workouts are ghetto 😫
29,NormalOffensiveOffensive,<user> american citizens are also getting tired of news like this everyday knowing the dems support these illegal aliens
30,NormalNormalHate,<user> is that the rochdale and bradford sexist culture the asian pervert fiddlers who like to rape white schoolgirls
31,NormalNormalHate,really fucking hate having to be myself sometimes
32,NormalNormalHate,<user> hate you 😭 😭 😭 i was just about to watch this rn
33,NormalNormalHate,<user> take ya nigger ass to bed
34,NormalNormalHate,i am not your devil you are zealots and nazis burn the christian air force
35,NormalNormalHate,my homie medicine hoe no versace this nigger
36,NormalNormalHate,<user> <user> this is incitement to violence right
37,NormalNormalHate,<user> lmao im finna b a dyke <number>
38,NormalNormalHate,<user> i hate you
